NetConn_2:
SingleSynapticConnection:0:17:0.23236084:2:38:0.70885825:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 8.054894, weight: 1.0]
SingleSynapticConnection:7:0:0.23559272:37:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.1676407, weight: 1.0]
SingleSynapticConnection:3:0:0.2700842:37:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.588801, weight: 1.0]
SingleSynapticConnection:11:0:0.061347663:37:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.3393807, weight: 1.0]
SingleSynapticConnection:0:0:0.8759374:38:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.215594, weight: 1.0]
SingleSynapticConnection:11:0:0.22978783:38:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.8698163, weight: 1.0]
SingleSynapticConnection:6:0:0.036019802:38:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.737466, weight: 1.0]
SingleSynapticConnection:7:0:0.7038448:38:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.4586544, weight: 1.0]
SingleSynapticConnection:3:0:0.0030266047:39:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.983034, weight: 1.0]
SingleSynapticConnection:7:0:0.9232407:39:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.207874, weight: 1.0]
SingleSynapticConnection:0:0:0.28336197:39:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.968193, weight: 1.0]
SingleSynapticConnection:10:0:0.24861872:39:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.8557796, weight: 1.0]
SingleSynapticConnection:10:0:0.6415618:40:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.4512095, weight: 1.0]
SingleSynapticConnection:2:0:0.8144591:40:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.904122, weight: 1.0]
SingleSynapticConnection:8:0:0.37968653:40:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.28018, weight: 1.0]
SingleSynapticConnection:3:0:0.88855827:40:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.5687294, weight: 1.0]
SingleSynapticConnection:7:0:0.16051418:40:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.062298, weight: 1.0]
SingleSynapticConnection:1:0:0.87435114:41:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.4009094, weight: 1.0]
SingleSynapticConnection:4:0:0.1630894:41:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.549195, weight: 1.0]
SingleSynapticConnection:3:0:0.11799431:41:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.3843637, weight: 1.0]
SingleSynapticConnection:10:0:0.59071827:41:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.554784, weight: 1.0]
SingleSynapticConnection:5:0:0.48906237:42:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.425076, weight: 1.0]
SingleSynapticConnection:7:0:0.047381163:42:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.141383, weight: 1.0]
SingleSynapticConnection:10:0:0.040665865:42:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.336274, weight: 1.0]
SingleSynapticConnection:3:0:0.9098093:43:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.0070763, weight: 1.0]
SingleSynapticConnection:5:0:0.6032453:43:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.863283, weight: 1.0]
SingleSynapticConnection:1:0:0.4474985:43:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.79726, weight: 1.0]
SingleSynapticConnection:10:0:0.3293391:43:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.0912275, weight: 1.0]
SingleSynapticConnection:7:0:0.5618485:43:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.606971, weight: 1.0]
SingleSynapticConnection:4:0:0.5049797:44:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.834222, weight: 1.0]
SingleSynapticConnection:10:0:0.62760794:44:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.768986, weight: 1.0]
SingleSynapticConnection:8:0:0.39064127:44:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.589217, weight: 1.0]
SingleSynapticConnection:2:0:0.554877:44:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.15324, weight: 1.0]
SingleSynapticConnection:0:0:0.2927943:45:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.2646127, weight: 1.0]
SingleSynapticConnection:7:0:0.47989357:45:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.3203964, weight: 1.0]
SingleSynapticConnection:5:0:0.52701455:45:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.1154366, weight: 1.0]
SingleSynapticConnection:6:0:0.64653295:45:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.3641253, weight: 1.0]
SingleSynapticConnection:0:0:0.38941407:46:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.017456, weight: 1.0]
SingleSynapticConnection:7:0:0.769446:46:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.5549755, weight: 1.0]
SingleSynapticConnection:5:0:0.7780706:46:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.426771, weight: 1.0]
SingleSynapticConnection:3:0:0.15099877:47:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.52228, weight: 1.0]
SingleSynapticConnection:7:0:0.98963934:47:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.834894, weight: 1.0]
SingleSynapticConnection:5:0:0.77805096:47:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.491685, weight: 1.0]
SingleSynapticConnection:7:0:0.35289806:48:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.104709, weight: 1.0]
SingleSynapticConnection:9:0:0.74154:48:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.2487106, weight: 1.0]
SingleSynapticConnection:10:0:0.60163295:48:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.5833855, weight: 1.0]
SingleSynapticConnection:6:0:0.70233566:48:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.55566, weight: 1.0]
SingleSynapticConnection:5:0:0.29386878:48:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.57858, weight: 1.0]
SingleSynapticConnection:4:0:0.94681644:49:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.9610386, weight: 1.0]
SingleSynapticConnection:2:0:0.2016719:49:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.6981854, weight: 1.0]
SingleSynapticConnection:10:0:0.7008962:49:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.658873, weight: 1.0]
SingleSynapticConnection:3:0:0.931856:49:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.468788, weight: 1.0]
SingleSynapticConnection:0:0:0.16385597:50:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.193991, weight: 1.0]
SingleSynapticConnection:7:0:0.65202403:50:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.354494, weight: 1.0]
SingleSynapticConnection:11:0:0.31585294:50:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.644699, weight: 1.0]
SingleSynapticConnection:5:0:0.8513759:50:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.0740056, weight: 1.0]
SingleSynapticConnection:6:0:0.86827534:50:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.153953, weight: 1.0]
SingleSynapticConnection:3:0:0.20419419:51:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.1601267, weight: 1.0]
SingleSynapticConnection:5:0:0.4310943:51:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.1391068, weight: 1.0]
SingleSynapticConnection:7:0:0.7469777:51:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.5761933, weight: 1.0]
SingleSynapticConnection:10:0:0.4227491:51:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.198308, weight: 1.0]
SingleSynapticConnection:2:0:0.5019009:51:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.488103, weight: 1.0]
SingleSynapticConnection:5:0:0.78797513:52:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.88472, weight: 1.0]
SingleSynapticConnection:0:0:0.80335194:52:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.3653035, weight: 1.0]
SingleSynapticConnection:7:0:0.9819904:52:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.251968, weight: 1.0]
SingleSynapticConnection:3:0:0.47856063:52:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.260543, weight: 1.0]
SingleSynapticConnection:3:0:0.5491369:53:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.971988, weight: 1.0]
SingleSynapticConnection:5:0:0.13445157:53:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.4040165, weight: 1.0]
SingleSynapticConnection:7:0:0.33832532:53:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.2942624, weight: 1.0]
SingleSynapticConnection:0:0:0.39545423:53:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.66696, weight: 1.0]
SingleSynapticConnection:5:0:0.6958988:54:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.903133, weight: 1.0]
SingleSynapticConnection:7:0:0.23277241:54:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.958944, weight: 1.0]
SingleSynapticConnection:10:0:0.87542087:54:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.5403624, weight: 1.0]
SingleSynapticConnection:9:0:0.6146962:54:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.658863, weight: 1.0]
SingleSynapticConnection:7:0:0.9044737:55:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.5174627, weight: 1.0]
SingleSynapticConnection:0:0:0.7172235:55:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.336195, weight: 1.0]
SingleSynapticConnection:5:0:0.3116982:55:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.182415, weight: 1.0]
SingleSynapticConnection:10:0:0.84861165:56:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.059116, weight: 1.0]
SingleSynapticConnection:5:0:0.3381049:56:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.1029763, weight: 1.0]
SingleSynapticConnection:2:0:0.046663463:56:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.531882, weight: 1.0]
SingleSynapticConnection:3:0:0.9439296:56:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.8250666, weight: 1.0]
SingleSynapticConnection:1:0:0.9442048:57:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.12623, weight: 1.0]
SingleSynapticConnection:4:0:0.19359583:57:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.27496, weight: 1.0]
SingleSynapticConnection:3:0:0.9006075:57:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.2735844, weight: 1.0]
SingleSynapticConnection:2:0:0.8347913:57:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.162829, weight: 1.0]
SingleSynapticConnection:8:0:0.51424193:58:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.478463, weight: 1.0]
SingleSynapticConnection:6:0:0.8348702:58:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.087481, weight: 1.0]
SingleSynapticConnection:9:0:0.31822455:58:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.137372, weight: 1.0]
SingleSynapticConnection:2:0:0.26624936:58:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.974897, weight: 1.0]
SingleSynapticConnection:3:0:0.1065765:59:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.688285, weight: 1.0]
SingleSynapticConnection:5:0:0.005620897:59:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.8300095, weight: 1.0]
SingleSynapticConnection:0:0:0.38355994:59:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.902102, weight: 1.0]
SingleSynapticConnection:7:0:0.95364136:59:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.292699, weight: 1.0]
SingleSynapticConnection:6:0:0.03349787:59:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.671633, weight: 1.0]
SingleSynapticConnection:6:0:0.81647235:60:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.248638, weight: 1.0]
SingleSynapticConnection:11:0:0.5151336:60:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.1420593, weight: 1.0]
SingleSynapticConnection:9:0:0.564134:60:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.7641544, weight: 1.0]
SingleSynapticConnection:0:0:0.7038968:60:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.312044, weight: 1.0]
SingleSynapticConnection:10:0:0.81663024:61:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.7771983, weight: 1.0]
SingleSynapticConnection:1:0:0.5665569:61:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.937985, weight: 1.0]
SingleSynapticConnection:3:0:0.91831595:61:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.431527, weight: 1.0]
SingleSynapticConnection:5:0:0.8897642:61:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.576006, weight: 1.0]
SingleSynapticConnection:7:0:0.14941412:61:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.2639685, weight: 1.0]
SingleSynapticConnection:1:0:0.46579742:62:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.811681, weight: 1.0]
SingleSynapticConnection:5:0:0.53983843:62:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.636803, weight: 1.0]
SingleSynapticConnection:10:0:0.40263778:62:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.554676, weight: 1.0]
SingleSynapticConnection:1:0:0.7438189:63:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.619055, weight: 1.0]
SingleSynapticConnection:10:0:0.841163:63:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.2605786, weight: 1.0]
SingleSynapticConnection:3:0:0.25175893:63:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.874054, weight: 1.0]
SingleSynapticConnection:5:0:0.24187368:63:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.872253, weight: 1.0]
SingleSynapticConnection:4:0:0.02945888:64:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.504152, weight: 1.0]
SingleSynapticConnection:10:0:0.54676026:64:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.811666, weight: 1.0]
SingleSynapticConnection:2:0:0.15457165:64:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.716805, weight: 1.0]
SingleSynapticConnection:8:0:0.012188733:64:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.496429, weight: 1.0]
SingleSynapticConnection:0:0:0.5609655:65:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.061003, weight: 1.0]
SingleSynapticConnection:5:0:0.11625147:65:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.782482, weight: 1.0]
SingleSynapticConnection:6:0:0.34765244:65:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.197533, weight: 1.0]
SingleSynapticConnection:11:0:0.22115773:65:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.765435, weight: 1.0]
SingleSynapticConnection:2:0:0.6304836:66:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.421304, weight: 1.0]
SingleSynapticConnection:9:0:0.8196384:66:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.0394044, weight: 1.0]
SingleSynapticConnection:8:0:0.28079778:66:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.675177, weight: 1.0]
SingleSynapticConnection:8:0:0.15426487:67:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.105747, weight: 1.0]
SingleSynapticConnection:2:0:0.87551695:67:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.09466, weight: 1.0]
SingleSynapticConnection:9:0:0.98499376:67:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.8484273, weight: 1.0]
SingleSynapticConnection:4:0:0.29861945:67:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.803807, weight: 1.0]
SingleSynapticConnection:4:0:0.8605642:68:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.824177, weight: 1.0]
SingleSynapticConnection:10:0:0.3772356:68:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.530577, weight: 1.0]
SingleSynapticConnection:2:0:0.028799474:68:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.474321, weight: 1.0]
SingleSynapticConnection:8:0:0.7352566:68:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.1488676, weight: 1.0]
SingleSynapticConnection:3:0:0.9134633:68:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.602396, weight: 1.0]
SingleSynapticConnection:3:0:0.56277496:69:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.557228, weight: 1.0]
SingleSynapticConnection:1:0:0.5241862:69:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.509512, weight: 1.0]
SingleSynapticConnection:10:0:0.41214573:69:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.401719, weight: 1.0]
SingleSynapticConnection:4:0:0.5401151:69:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.581263, weight: 1.0]
SingleSynapticConnection:5:0:0.5096145:69:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.792949, weight: 1.0]
SingleSynapticConnection:3:0:0.5381287:70:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.2960854, weight: 1.0]
SingleSynapticConnection:1:0:0.0856663:70:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.2641735, weight: 1.0]
SingleSynapticConnection:5:0:0.98724693:70:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.463024, weight: 1.0]
SingleSynapticConnection:4:0:0.6219266:70:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.9471993, weight: 1.0]
SingleSynapticConnection:10:0:0.3209694:71:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.081119, weight: 1.0]
SingleSynapticConnection:2:0:0.1277926:71:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.016539, weight: 1.0]
SingleSynapticConnection:5:0:0.23769957:71:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.605562, weight: 1.0]
SingleSynapticConnection:10:0:0.31446165:72:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.049683, weight: 1.0]
SingleSynapticConnection:3:0:0.43600643:72:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.113585, weight: 1.0]
SingleSynapticConnection:2:0:0.06819099:72:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.549666, weight: 1.0]
SingleSynapticConnection:8:0:0.8184532:72:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.55757, weight: 1.0]
SingleSynapticConnection:5:0:0.50089467:73:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.7818775, weight: 1.0]
SingleSynapticConnection:3:0:0.991829:73:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.554965, weight: 1.0]
SingleSynapticConnection:7:0:0.82968867:73:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.204127, weight: 1.0]
SingleSynapticConnection:1:0:0.2563569:73:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.204565, weight: 1.0]
SingleSynapticConnection:6:0:0.5999968:74:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.531081, weight: 1.0]
SingleSynapticConnection:11:0:0.36204308:74:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.70326, weight: 1.0]
SingleSynapticConnection:9:0:0.67745733:74:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.3489637, weight: 1.0]
SingleSynapticConnection:5:0:0.6568525:74:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.896481, weight: 1.0]
SingleSynapticConnection:3:0:0.4928131:75:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.318483, weight: 1.0]
SingleSynapticConnection:8:0:0.89902836:75:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.1125846, weight: 1.0]
SingleSynapticConnection:5:0:0.20839435:75:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.3182545, weight: 1.0]
SingleSynapticConnection:2:0:0.5262552:75:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.765375, weight: 1.0]
SingleSynapticConnection:2:0:0.60438484:76:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.551141, weight: 1.0]
SingleSynapticConnection:10:0:0.902166:76:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.836915, weight: 1.0]
SingleSynapticConnection:3:0:0.9312595:76:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.437772, weight: 1.0]
SingleSynapticConnection:4:0:0.71492416:77:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.867574, weight: 1.0]
SingleSynapticConnection:10:0:0.57423335:77:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.4086165, weight: 1.0]
SingleSynapticConnection:8:0:0.6276706:77:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.089027, weight: 1.0]
SingleSynapticConnection:5:0:0.93577546:77:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.228424, weight: 1.0]
SingleSynapticConnection:5:0:0.18308407:78:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.1386776, weight: 1.0]
SingleSynapticConnection:3:0:0.29545605:78:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.5371685, weight: 1.0]
SingleSynapticConnection:7:0:0.91623896:78:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.988921, weight: 1.0]
SingleSynapticConnection:1:0:0.89126086:78:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.822684, weight: 1.0]
SingleSynapticConnection:4:0:0.4410336:79:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.881214, weight: 1.0]
SingleSynapticConnection:8:0:0.23128676:79:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.7314854, weight: 1.0]
SingleSynapticConnection:10:0:0.92460483:79:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.2515845, weight: 1.0]
